antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'cat_Beverage'}),frozenset({'medium'}),0.15,0.5256738095238095,0.07964761904761905,0.530984126984127,1.010101925118027,1.0,0.0007965476190476273,1.0113222553133885,0.011765760949842214,0.1336310724600629,0.011195497037568863,0.3412497078759155
frozenset({'cat_Dairy'}),frozenset({'medium'}),0.172,0.5256738095238095,0.09161071428571428,0.5326204318936877,1.0132147012919874,1.0,0.0011948190476190612,1.0148629140936218,0.015751631069620377,0.15115705774779853,0.014645243103494392,0.3534466802579548
frozenset({'cat_Food'}),frozenset({'medium'}),0.18,0.5256738095238095,0.09462976190476191,0.5257208994708995,1.0000895801659448,1.0,8.47619047621151e-06,1.0000992874175512,0.00010923431958245591,0.15486569630043817,9.927756053854553e-05,0.3528685119503848
frozenset({'cat_Household'}),frozenset({'medium'}),0.194,0.5256738095238095,0.10155238095238095,0.5234658811978399,0.9957998129525043,1.0,-0.0004283380952380955,0.9953666941382506,-0.005205887222927043,0.16429195989384116,-0.0046548733135587635,0.3583255224553129
frozenset({'cat_Personal Care'}),frozenset({'medium'}),0.154,0.5256738095238095,0.07994880952380952,0.5191481137909709,0.9875860360272657,1.0,-0.0010049571428571435,0.9864288860665885,-0.014640632077712927,0.13330911588446293,-0.013757822915675857,0.3356181816695849
frozenset({'cat_Snacks'}),frozenset({'medium'}),0.15,0.5256738095238095,0.0782845238095238,0.5218968253968254,0.9928149661281288,1.0,-0.0005665476190476193,0.9921000647399612,-0.008442276665061236,0.13104440551845628,-0.007962841189925227,0.33540953515802235
